Representation,Feature_Selection,Top_K,Model,Accuracy,Precision,Recall,F1_score,ROC_AUC,Log_Loss,Training_Time
TF-IDF,Mutual Information,20,LinearSVC,0.7676373721615531,0.7455907601061339,0.8196636925188744,0.7808745402533714,0.8528347508915832,0.4780489746646513,0.248124361038208
TF-IDF,Mutual Information,40,Logistic Regression,0.7952851447391229,0.7757797581158498,0.8364790665751545,0.8049867899603699,0.8837673854223886,0.43478528492392643,0.16047215461730957
TF-IDF,Mutual Information,40,Random Forest,0.843907089616918,0.8198570293884035,0.8855525051475635,0.8514394126866287,0.9198265634709903,0.5450069237227546,9.078751564025879
TF-IDF,Mutual Information,40,LinearSVC,0.7985786098110591,0.7827630729502905,0.8321894303363074,0.8067198935462409,0.887061465453929,0.4214328317689037,0.4484748840332031
TF-IDF,Mutual Information,100,Logistic Regression,0.828566475992373,0.8137222946544981,0.856726149622512,0.834670678702775,0.9153264570940216,0.3739441097956335,0.1873791217803955
TF-IDF,Mutual Information,100,Random Forest,0.8673080256543595,0.8600636835930954,0.880576527110501,0.8701992369648156,0.9375153254954943,0.4233922545302146,11.311488389968872
TF-IDF,Mutual Information,100,LinearSVC,0.8293465071936211,0.8165709598031173,0.8539807824296499,0.8348569990774134,0.9176600492579455,0.3620099853709039,0.6726000308990479
TF-IDF,Mutual Information,200,Logistic Regression,0.8413936557462298,0.832280585106383,0.8591283459162663,0.8454913880445796,0.9292988315361435,0.34156829463992344,0.15156102180480957
TF-IDF,Mutual Information,200,Random Forest,0.8721615531287918,0.8719876944112117,0.8754289636238847,0.8737049404914804,0.943748565112922,0.36230948442731936,15.02385950088501
TF-IDF,Mutual Information,200,LinearSVC,0.843907089616918,0.8360874645301285,0.859471516815374,0.8476182418140282,0.932401643373917,0.32730295906361756,0.7784125804901123
TF-IDF,Mutual Information,400,Logistic Regression,0.8579476512393829,0.8526687994611888,0.8689087165408373,0.86071216112858,0.9424246075771653,0.3108957468335453,0.20970726013183594
TF-IDF,Mutual Information,400,Random Forest,0.8789218235396082,0.8883435582822086,0.8695950583390528,0.8788693314835689,0.9528398593900814,0.29882093766234064,20.718121767044067
TF-IDF,Mutual Information,400,LinearSVC,0.8613277864447911,0.8585481682496607,0.8685655456417296,0.8635278062094848,0.9461035378455599,0.2940463379519674,1.036039113998413
TF-IDF,Mutual Information,600,Logistic Regression,0.8650546021840874,0.8584858150075542,0.8774879890185312,0.8678829019940603,0.9491101596616132,0.29331584712117825,0.32265448570251465
TF-IDF,Mutual Information,600,Random Forest,0.8833420003466805,0.8960763520678685,0.8699382292381606,0.8828138603517326,0.9562911309254077,0.2935636572118426,25.275458335876465
TF-IDF,Mutual Information,600,LinearSVC,0.8682613971225516,0.8633603238866396,0.8781743308167468,0.8707043211976863,0.9522008313029556,0.2762819716663232,1.3210365772247314
TF-IDF,Mutual Information,1000,Logistic Regression,0.8732882648639279,0.8712585034013606,0.8790322580645161,0.8751281175264776,0.9545750961299219,0.2781028444987097,0.5216174125671387
TF-IDF,Mutual Information,1000,Random Forest,0.8863754550182007,0.9058400718778077,0.8649622512010982,0.8849293425787764,0.9595354782215695,0.2757383116717669,33.85029125213623
TF-IDF,Mutual Information,1000,LinearSVC,0.87510833766684,0.8752780153977758,0.8778311599176389,0.8765527285188041,0.9568984712968496,0.26289248384908714,1.6632225513458252
TF-IDF,Mutual Information,1500,Logistic Regression,0.8781417923383602,0.8778195488721805,0.8814344543582704,0.8796232876712329,0.9582545823231529,0.26743729471341504,0.38038039207458496
TF-IDF,Mutual Information,1500,Random Forest,0.8914889928930491,0.9090096531998569,0.8725120109814688,0.8903869725091927,0.961275282560067,0.2738916269657799,37.057647466659546
TF-IDF,Mutual Information,1500,LinearSVC,0.8815219275437685,0.8830499742400825,0.8822923816060398,0.8826710153634881,0.9602723190299381,0.25346208877836274,1.7032804489135742
TF-IDF,Fisher,20,Logistic Regression,0.8022187554168834,0.7606586298147604,0.8877831159917638,0.8193190815518606,0.9009855044852617,0.40175758224929153,0.07416796684265137
TF-IDF,Fisher,20,Random Forest,0.829086496793205,0.7636761487964989,0.9581331503088538,0.8499238964992389,0.9282420785218288,0.4892598338478928,4.409863710403442
TF-IDF,Fisher,20,LinearSVC,0.8038654879528514,0.7613253188682011,0.8910432395332876,0.82109257648826,0.9052801891226243,0.3799373981534775,0.30548930168151855
TF-IDF,Fisher,40,Logistic Regression,0.8207661639798925,0.7758215962441315,0.9073438572409059,0.8364441632394812,0.9196595756700848,0.36417099908514006,0.1264479160308838
TF-IDF,Fisher,40,Random Forest,0.8487606170913503,0.9353806781829814,0.7525737817433081,0.8340781591708663,0.9453178207265607,0.3862074757622071,6.211461067199707
TF-IDF,Fisher,40,LinearSVC,0.8238862887848847,0.777080291970803,0.9133493479752917,0.8397223536835463,0.9243989701267026,0.3411418011937005,0.5556645393371582
TF-IDF,Fisher,100,Logistic Regression,0.8348933957358294,0.7928048962531721,0.9112903225806451,0.8479284744950906,0.9326277695574358,0.3320273393705767,0.13356399536132812
TF-IDF,Fisher,100,Random Forest,0.859681053908823,0.9274832419256551,0.7834591626630062,0.8494093572690913,0.9471747298806295,0.3884169806465171,8.753384113311768
TF-IDF,Fisher,100,LinearSVC,0.8377535101404057,0.7969078354848393,0.9109471516815374,0.8501200960768615,0.937009448919222,0.3087188585235244,0.4560842514038086
TF-IDF,Fisher,200,Logistic Regression,0.8526607730975906,0.8270998415213946,0.8955044612216884,0.8599439775910365,0.944184064609885,0.3033030445494336,0.15006399154663086
TF-IDF,Fisher,200,Random Forest,0.8719882128618478,0.8452626567211554,0.9138641043239534,0.8782257399620743,0.9465990922498668,0.39991981399572757,13.470997095108032
TF-IDF,Fisher,200,LinearSVC,0.8584676720402149,0.8329893633910145,0.900308853809197,0.8653417992908387,0.9494112004731071,0.2788300054513775,0.9281754493713379
TF-IDF,Fisher,400,Logistic Regression,0.8584676720402149,0.8364073777064955,0.8948181194234729,0.8646273729586338,0.9497545216221708,0.28728266004777847,0.3404240608215332
